Sample,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,RawIntDen
dish2-roi-01,0.088,1282.507,327.887,912,793,1978,42.766,16.832,113.407,91058
dish2-roi-01,0.102,1040,208.016,770,725,1473,62.982,16.819,106.211,85280
dish2-roi-01,0.164,2860.598,1059.814,3028,1256,5324,15.026,16.949,470.277,377599
dish2-roi-01,0.24,1790.762,737.173,1150,842,3496,43.847,17.042,430.445,345617
dish2-roi-01,0.301,2345.202,975.738,1318,895,4493,48.06,17.118,706.836,567539
dish2-roi-01,0.209,1407.107,486.676,816,719,2527,63.95,16.943,294.415,236394
dish2-roi-01,0.035,1141.679,119.818,1092,938,1360,12.034,17.045,39.813,31967
dish2-roi-01,0.019,1146.133,83.072,1130,993,1264,47.418,16.995,21.412,17192
dish2-roi-01,0.1,1167.85,203.903,868,746,1507,63.272,17.147,116.359,93428
dish2-roi-01,0.589,3640.478,1221.707,2472,1354,6489,14.413,17.416,2144.58,1721946
dish2-roi-01,0.252,1935.396,500.472,1352,1134,3432,26.686,17.222,486.905,390950
dish2-roi-01,0.138,3409.694,854.615,2748,2111,5160,18.345,17.255,471.369,378476
dish2-roi-01,0.164,1805.348,373.72,1573,1126,2560,27.508,17.237,296.796,238306
dish2-roi-01,0.01,1291.5,51.747,1207,1207,1341,47.634,17.147,12.868,10332
dish2-roi-01,0.498,3560.713,1704.876,2509,1193,8331,17.621,17.478,1773.861,1424285
dish2-roi-01,0.036,768.862,86.21,667,652,923,33.255,17.344,27.77,22297
dish2-roi-01,0.233,2689.38,875.662,1830,1169,4712,18.807,17.584,626.349,502914
dish2-roi-01,0.205,2280.455,952.012,1258,1073,4677,27.558,17.679,468.628,376275
dish2-roi-01,0.059,1203.319,179.222,1002,929,1550,47.389,17.558,70.437,56556
dish2-roi-01,0.031,992.2,57.553,954,889,1087,42.967,17.734,30.893,24805
dish2-roi-01,0.026,1099.333,99.874,975,975,1287,43.2,17.764,28.752,23086
dish2-roi-01,0.192,1420.851,484.847,905,704,2518,63.762,17.917,272.516,218811
dish2-roi-01,0.071,1800.632,423.795,1137,1137,2643,18.789,17.947,127.827,102636
dish2-roi-01,0.709,4953.905,2004.376,5092,1353,9678,13.393,18.427,3510.611,2818772
dish2-roi-01,0.272,7095.862,2138.647,6008,3099,10697,14.213,18.188,1926.569,1546898
dish2-roi-01,0.118,1178.821,206.11,1042,793,1601,43.981,18.179,139.474,111988
dish2-roi-01,0.057,1156.739,233.971,829,829,1620,47.219,18.051,66.27,53210
dish2-roi-01,0.014,1679.545,140.606,1466,1466,1870,14.853,18.019,23.01,18475
dish2-roi-01,0.08,1196.969,146.638,934,934,1485,43.159,18.137,95.408,76606
dish2-roi-01,0.051,1321.39,160.694,1150,1084,1657,19.105,18.225,67.474,54177
dish2-roi-01,0.096,5032.039,1168.191,4703,2754,6993,14.112,18.647,482.567,387467
dish2-roi-01,0.249,2974.715,1128.061,1338,1172,5152,15.341,18.787,740.966,594943
dish2-roi-01,0.33,1879.838,679.837,908,854,3689,46.458,19.03,620.425,498157
dish2-roi-01,0.184,4417.297,1565.532,3388,2095,7665,14.533,18.862,814.219,653760
dish2-roi-01,0.133,1995.234,715.702,1542,976,3587,47.193,19.106,265.889,213490
dish2-roi-01,0.037,1465.233,186.151,1671,1193,1831,17.816,19.091,54.746,43957
dish2-roi-01,0.274,4010.509,1961.534,1889,1347,8457,12.681,19.385,1098.867,882312
dish2-roi-01,0.301,4143.459,1886.886,2511,1244,8561,15.403,19.372,1248.824,1002717
dish2-roi-01,0.101,2377.025,487.123,2830,1533,3387,14.303,19.317,239.796,192539
dish2-roi-01,0.057,800.739,110.058,678,650,1044,5.835,19.405,45.875,36834
dish2-roi-01,0.139,1458.92,468.643,802,789,2507,45.289,19.54,203.504,163399
dish2-roi-01,0.056,1501.222,236.192,1839,1190,1912,18.998,19.484,84.136,67555
dish2-roi-01,0.022,1305.056,127.966,1107,1107,1540,47.233,19.5,29.257,23491
dish2-roi-01,0.585,4023.547,2094.273,1301,1271,10076,14.796,20.101,2355.21,1891067
dish2-roi-01,0.055,1392.795,185.345,1276,1093,1735,16.908,19.615,76.324,61283
dish2-roi-01,0.116,1889.398,505.948,1379,1160,2973,46.708,19.648,218.841,175714
dish2-roi-01,0.032,1067.5,98.881,890,890,1254,47.511,19.619,34.567,27755
dish2-roi-01,0.072,1937.466,434.312,1530,1293,2782,11.875,19.763,139.954,112373
dish2-roi-01,0.574,4702.328,2454.191,2549,1470,9839,12.713,20.127,2699.831,2167773
dish2-roi-01,0.133,2180.692,678.835,1809,1079,3546,45.522,19.925,290.603,233334
dish2-roi-01,0.039,1450.774,202.245,1193,1193,1851,17.567,20.034,56.012,44974
dish2-roi-01,0.112,2305.1,486.551,1433,1433,3206,45.98,20.16,258.378,207459
dish2-roi-01,0.225,2081.254,544.473,1972,974,3228,46.38,20.546,469.166,376707
dish2-roi-01,0.051,1963.195,193.123,1830,1613,2325,45.594,20.5,100.247,80491
dish2-roi-01,0.054,1144.884,175.517,958,867,1494,46.87,20.489,61.313,49230
dish2-roi-01,0.032,1177.385,145.144,1053,914,1440,44.941,20.497,38.125,30612
dish2-roi-01,0.065,1475.846,243.058,1140,1140,1940,15.981,20.607,95.58,76744
dish2-roi-01,0.011,737.444,36.27,722,689,795,61.62,20.659,8.266,6637
dish2-roi-01,0.019,1807.2,141.926,1627,1627,2065,13.113,20.743,33.761,27108
dish2-roi-01,0.05,1387.5,201.69,1153,1107,1786,35.881,20.81,69.122,55500
dish2-roi-01,0.093,2104.747,645.204,1877,1222,3446,18.261,20.877,196.6,157856
dish2-roi-01,0.137,2107.391,449.881,1433,1384,3085,45.7,20.913,288.709,231813
dish2-roi-01,0.228,3206.454,1459.687,1600,1273,6302,13.285,21.231,730.8,586781
dish2-roi-01,0.03,1495.875,202.044,1249,1238,1845,17.004,21.126,44.713,35901
dish2-roi-01,0.291,3296.483,1723.242,1799,1204,7349,12.215,21.374,960.704,771377
dish2-roi-01,0.183,1745.912,668.767,1067,790,3252,45.558,21.599,319.641,256649
dish2-roi-01,0.045,1507.167,241.893,1604,1130,1956,37.433,21.522,67.575,54258
dish2-roi-01,0.07,1691.321,401.458,1144,1144,2586,10.264,21.638,117.961,94714
dish2-roi-01,0.369,3276.503,1666.695,1296,1224,8014,13.067,21.939,1207.884,969845
dish2-roi-01,0.08,1804.828,418.311,1341,1293,2752,17.806,21.757,143.86,115509
dish2-roi-01,0.019,1283.267,70.652,1185,1185,1393,11.546,21.74,23.973,19249
dish2-roi-01,0.047,1484.079,212.554,1303,1171,1908,34.784,21.91,70.237,56395
dish2-roi-01,0.138,2054.369,632.168,1230,1202,3523,35.32,22.008,284.004,228035
dish2-roi-01,0.146,2322.479,780.439,1505,1304,4181,17.967,22.24,338.423,271730
dish2-roi-01,0.116,1830.925,386.961,1545,1306,2737,16.883,22.285,212.069,170276
dish2-roi-01,0.05,1400.975,256.034,995,995,1879,19.646,22.423,69.793,56039
dish2-roi-01,0.075,1674.367,370.285,1219,1125,2429,36.7,22.434,125.119,100462
dish2-roi-01,0.05,1128.125,148.36,1063,912,1419,75.24,22.514,56.2,45125
dish2-roi-01,0.144,1922.612,612.864,1376,1244,3640,17.061,22.847,277.762,223023
dish2-roi-01,0.057,1569.674,269.881,1718,1149,2068,58.584,22.885,89.927,72205
dish2-roi-01,0.037,1343.9,141.159,1260,1102,1604,14.039,22.919,50.212,40317
dish2-roi-01,0.036,940.241,112.075,774,774,1152,47.999,22.903,33.959,27267
dish2-roi-01,0.101,1784.728,491.199,1515,1149,2917,34.852,23.062,180.045,144563
dish2-roi-01,0.149,1692.458,439.074,1329,1102,2742,57.764,23.141,252.943,203095
dish2-roi-01,0.435,2130.332,521.548,1977,1195,3588,60.089,23.332,925.967,743486
dish2-roi-01,0.106,2031.694,581.42,1374,1236,3405,37.922,23.194,215.08,172694
dish2-roi-01,0.101,1563.222,403.337,1170,947,2255,71.397,23.224,157.699,126621
dish2-roi-01,0.537,3691.981,2294.804,1925,1260,10429,37.604,23.618,1981.799,1591244
dish2-roi-01,0.066,1478.717,239.341,1197,1061,1949,18.13,23.409,97.608,78372
dish2-roi-01,0.148,1589.252,492.55,987,901,2764,69.847,23.48,235.539,189121
dish2-roi-01,0.239,2138.438,543.161,1762,1248,3525,55.82,23.76,511.353,410580
dish2-roi-01,0.012,965.3,20.635,933,933,1001,75.671,23.528,12.022,9653
dish2-roi-01,0.059,1780.34,188.348,1649,1409,2072,58.293,23.768,104.213,83676
dish2-roi-01,0.131,2708.905,721.957,1824,1656,4144,59.493,23.856,354.247,284435
dish2-roi-01,0.095,2200.447,346.639,1474,1474,2699,58.774,23.926,208.28,167234
dish2-roi-01,0.108,1834.276,386.037,1389,1153,2548,57.634,23.974,198.75,159582
dish2-roi-01,0.283,2435.37,824.07,1306,1233,4425,35.934,24.112,688.515,552829
dish2-roi-01,0.189,2938.099,597.094,3024,1765,4244,55.224,24.099,556.202,446591
dish2-roi-01,0.04,1590.781,128.521,1499,1344,1801,60.356,23.961,63.399,50905
dish2-roi-01,0.019,1202.933,39.487,1143,1143,1258,38.628,23.968,22.473,18044
dish2-roi-01,0.024,1865.053,176.422,1494,1494,2137,36.566,24.034,44.133,35436
dish2-roi-01,0.086,1972.101,290.471,2428,1468,2500,58.022,24.163,169.473,136075
dish2-roi-01,0.167,2611.216,831.092,1603,1186,4337,54.774,24.226,435.783,349903
dish2-roi-01,0.126,2835.03,467.213,3272,1975,3777,55.831,24.337,356.617,286338
dish2-roi-01,0.313,3402.315,861.685,2570,2157,5759,59.059,24.565,1063.582,853981
dish2-roi-01,0.465,5640.534,2454.028,2443,1922,11031,36.698,24.575,2620.305,2103919
dish2-roi-01,0.031,1281.64,114.654,1107,1107,1507,33.768,24.437,39.905,32041
dish2-roi-01,0.171,2207.08,658.449,1907,1185,3956,60.359,24.677,376.584,302370
